,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
img_glcm_homogeneity_std,26.0,0.10373274452106931,0.005681626189900272,0.09446358603042879,0.10026744690594654,0.10247542143909419,0.10420229763833885,0.11546320597694243,0.9675815933854128,-0.03961948469651322
img_glcm_energy_mean,26.0,0.10237179787801293,0.03918802417280002,0.058237049346279914,0.06990564812264646,0.08435343803481084,0.14634194788304689,0.16785929330323213,0.4703546734629702,-1.4294927834649562
img_glcm_energy_std,26.0,0.014044096303810242,0.003798321403524081,0.008930444646964643,0.01093343079471493,0.01254056098142156,0.01797999564522268,0.021138257755718495,0.4856791068832939,-1.2706728277782486
img_glcm_correlation_mean,26.0,0.9817606196289644,0.009049020472828365,0.9609757174891053,0.9768554915549847,0.9848747514705831,0.9883300489180352,0.9929446203700961,-0.9390143245583086,0.052693446218099016
img_glcm_correlation_std,26.0,0.015130256892033041,0.007524559314468473,0.005973435374812554,0.009544196181791665,0.01223874886907295,0.018928176670329967,0.03306163941155577,0.9806563474058505,0.13490805103509151
img_glcm_ASM_mean,26.0,0.012167729799510148,0.00888847317856493,0.0034830717275604497,0.00500382070502413,0.007269177044397035,0.021730592491853388,0.028520528400235893,0.6436288667605786,-1.2645345824234173
img_glcm_ASM_std,26.0,0.003178231819865104,0.0020421794521135904,0.0010501739663491664,0.0015619600749599543,0.0020820589611620258,0.005267686330533592,0.006876275184443887,0.6193247616580092,-1.288375389055401
cold_area_pct_25,26.0,26.500415370475118,1.3640789019636637,25.220588235294116,25.426958869485297,26.12534466911765,27.086827895220587,30.918543198529413,1.4554051778373445,2.2592080716832346
cold_mean_25,26.0,133.72134125913584,28.227402560914456,84.8990990183334,106.23429191202553,132.15289178102802,162.9048015336667,169.75516801748475,-0.17601101731379357,-1.4414037571412055
cold_std_25,26.0,11.83652647005226,4.469185786765773,5.2230986924334335,9.306707253129439,11.002218460334088,12.82484568631344,27.87908995214486,1.8116825210357381,4.510658515965434
cold_median_25,26.0,136.6153846153846,28.33665742190059,89.0,110.25,137.0,164.75,174.0,-0.2000007662527419,-1.432381578342269
cold_lbp_25_0,26.0,0.0045849830316742075,0.0013762748041127283,0.00146484375,0.004167624080882353,0.004808134191176471,0.005353860294117647,0.006881893382352941,-0.8555903498169493,0.5425304286797261
cold_lbp_25_1,26.0,0.002356564621040724,0.0007716454992292625,0.0007927389705882353,0.0020751953125,0.002277688419117647,0.0027157054227941175,0.0041590073529411764,0.18673500675686344,0.38846656871784147
cold_lbp_25_2,26.0,0.0026095429157239826,0.0007218924557619165,0.0006893382352941177,0.002322208180147059,0.0025361902573529413,0.0030460133272058824,0.004124540441176471,-0.32906728865127244,0.7778522795862637
cold_lbp_25_3,26.0,0.0026709647200226245,0.0008318720529871737,0.0008674172794117647,0.0021513097426470586,0.0026970358455882353,0.003435202205882353,0.0040498621323529415,-0.3252133464602777,-0.6554787659404715
cold_lbp_25_4,26.0,0.00276331836821267,0.000830989357375125,0.001206341911764706,0.002225988051470588,0.0028377757352941175,0.0033763212316176468,0.003969439338235294,-0.22477639227207502,-0.9335137918388869
cold_lbp_25_5,26.0,0.003516950650452489,0.0010391738111518805,0.0013729319852941175,0.002763097426470588,0.003644875919117647,0.003940716911764706,0.005296415441176471,-0.04416478691038449,-0.7412201420653255
cold_lbp_25_6,26.0,0.003612618424773756,0.0009899297710204218,0.0018784466911764706,0.0027257582720588234,0.0035960477941176473,0.004246610753676471,0.005290670955882353,0.05551412405553295,-1.088796709112696
cold_lbp_25_7,26.0,0.005053158583144797,0.0010019975692540227,0.003010110294117647,0.004216452205882353,0.0050580193014705885,0.005987189797794118,0.006560202205882353,-0.3017574239091182,-0.9845477537363099
cold_lbp_25_8,26.0,0.007139290511877828,0.0009480942161942565,0.005238970588235294,0.00641946231617647,0.007126034007352941,0.00800637637867647,0.008507582720588235,-0.2780753255241547,-0.9636601926192898
cold_lbp_25_9,26.0,0.009716575933257919,0.0007898017282233,0.00788717830882353,0.009260110294117647,0.009808708639705881,0.010337201286764706,0.011259191176470588,-0.2279603922507504,-0.34564403268832455
cold_lbp_25_10,26.0,0.012604284502262444,0.0017711347963138481,0.009018841911764705,0.011513384650735294,0.012543083639705882,0.013875804227941175,0.017342601102941176,0.3769664937799428,0.4566553292366473
cold_lbp_25_11,26.0,0.018054696337669682,0.003986450782871916,0.012810202205882353,0.015534524356617648,0.016693474264705882,0.02003676470588235,0.030876608455882353,1.3833125886241475,2.2095389013170887
cold_lbp_25_12,26.0,0.019343891402714933,0.0062273196789892574,0.01213235294117647,0.01572696461397059,0.01779928768382353,0.02139102711397059,0.041228170955882354,1.8661099538853039,3.989950795777058
cold_lbp_25_13,26.0,0.0292599777290724,0.006936799958863922,0.02095013786764706,0.0244873046875,0.027800436580882354,0.030162856158088235,0.05122357536764706,1.5484985675824836,2.325430283006839
cold_lbp_25_14,26.0,0.02078796662895927,0.005373289060562778,0.013017003676470589,0.017298081341911766,0.019841452205882355,0.022195255055147058,0.03332375919117647,1.1169935331273253,0.4455076468304622
cold_lbp_25_15,26.0,0.025267781391402715,0.0037971765898127128,0.0193359375,0.022982249540441178,0.02473288143382353,0.026894244025735294,0.035460707720588236,0.9834191980422754,0.902717513777763
cold_lbp_25_16,26.0,0.015864058964932128,0.00278087018353453,0.011224724264705882,0.014247759650735294,0.01560489430147059,0.017082663143382353,0.024057904411764707,1.2455965887795026,2.0071575726087927
cold_lbp_25_17,26.0,0.022708392251131224,0.0022551066578197273,0.018187040441176472,0.02180032169117647,0.022369025735294118,0.0236328125,0.028555836397058824,0.5434919462347517,0.8984827621167986
