imagen,lombrices_agregadas_g,replica,modelo,validacion,prediccion,error,error_abs
T0G-1.jpg,0,1,CatBoost,LOO,15.144575855900523,-15.144575855900523,15.144575855900523
T10G-1.jpg,10,1,CatBoost,LOO,11.68291159295881,-1.6829115929588099,1.6829115929588099
T10G-2.jpg,10,2,CatBoost,LOO,11.42267253289614,-1.42267253289614,1.42267253289614
T10G-3.jpg,10,3,CatBoost,LOO,11.362333158987365,-1.362333158987365,1.362333158987365
T10G-4.jpg,10,4,CatBoost,LOO,17.176602772541386,-7.176602772541386,7.176602772541386
T10G-5.jpg,10,5,CatBoost,LOO,18.175350048825166,-8.175350048825166,8.175350048825166
T20G-1.jpg,20,1,CatBoost,LOO,17.584211719373908,2.415788280626092,2.415788280626092
T20G-2.jpg,20,2,CatBoost,LOO,14.570520434580182,5.429479565419818,5.429479565419818
T20G-3.jpg,20,3,CatBoost,LOO,21.579058236359884,-1.5790582363598844,1.5790582363598844
T20G-4.jpg,20,4,CatBoost,LOO,15.504850651491662,4.495149348508338,4.495149348508338
T20G-5.jpg,20,5,CatBoost,LOO,30.89893166601822,-10.898931666018221,10.898931666018221
T30G-1.jpg,30,1,CatBoost,LOO,24.807166240254006,5.192833759745994,5.192833759745994
T30G-2.jpg,30,2,CatBoost,LOO,28.336671211290646,1.6633287887093537,1.6633287887093537
T30G-3.jpg,30,3,CatBoost,LOO,33.3637008551093,-3.3637008551093004,3.3637008551093004
T30G-4.jpg,30,4,CatBoost,LOO,31.281488443988966,-1.281488443988966,1.281488443988966
T30G-5.jpg,30,5,CatBoost,LOO,35.82152400273716,-5.8215240027371635,5.8215240027371635
T40G-1.jpg,40,1,CatBoost,LOO,36.45573427114944,3.5442657288505615,3.5442657288505615
T40G-2.jpg,40,2,CatBoost,LOO,37.59948276292725,2.400517237072748,2.400517237072748
T40G-3.jpg,40,3,CatBoost,LOO,40.04536532280571,-0.04536532280570782,0.04536532280570782
T40G-4.jpg,40,4,CatBoost,LOO,40.68366527723173,-0.6836652772317322,0.6836652772317322
T40G-5.jpg,40,5,CatBoost,LOO,38.330139108539996,1.6698608914600044,1.6698608914600044
T50G-1.jpg,50,1,CatBoost,LOO,36.059491620062865,13.940508379937135,13.940508379937135
T50G-2.jpg,50,2,CatBoost,LOO,43.5592493356891,6.440750664310897,6.440750664310897
T50G-3.jpg,50,3,CatBoost,LOO,46.694109678828525,3.305890321171475,3.305890321171475
T50G-4.jpg,50,4,CatBoost,LOO,43.775041361590986,6.224958638409014,6.224958638409014
T50G-5.jpg,50,5,CatBoost,LOO,44.684629295984486,5.315370704015514,5.315370704015514
