imagen,gramos,iteracion,modelo,validacion,predicho,error,error_abs
T40G-3.jpg,40.0,3,GradientBoosting,LOO,27.075213813977218,12.924786186022782,12.924786186022782
T40G-4.jpg,40.0,4,GradientBoosting,LOO,30.477604242844915,9.522395757155085,9.522395757155085
T40G-5.jpg,40.0,5,GradientBoosting,LOO,16.655762295292448,23.344237704707552,23.344237704707552
T50G-1.jpg,50.0,1,GradientBoosting,LOO,31.818017729174183,18.181982270825817,18.181982270825817
T50G-2.jpg,50.0,2,GradientBoosting,LOO,26.092852121638472,23.907147878361528,23.907147878361528
T50G-3.jpg,50.0,3,GradientBoosting,LOO,26.934685448055657,23.065314551944343,23.065314551944343
T50G-4.jpg,50.0,4,GradientBoosting,LOO,30.723770725913614,19.276229274086386,19.276229274086386
T50G-5.jpg,50.0,5,GradientBoosting,LOO,26.66684774418194,23.33315225581806,23.33315225581806
T0G-1.jpg,0.0,1,CatBoost,LOO,34.90590906578206,-34.90590906578206,34.90590906578206
T10G-1.jpg,10.0,1,CatBoost,LOO,29.737255681556796,-19.737255681556796,19.737255681556796
T10G-2.jpg,10.0,2,CatBoost,LOO,29.77786401665154,-19.77786401665154,19.77786401665154
T10G-3.jpg,10.0,3,CatBoost,LOO,30.815286825504995,-20.815286825504995,20.815286825504995
T10G-4.jpg,10.0,4,CatBoost,LOO,30.948958884375596,-20.948958884375596,20.948958884375596
T10G-5.jpg,10.0,5,CatBoost,LOO,34.75851289200912,-24.758512892009122,24.758512892009122
T20G-1.jpg,20.0,1,CatBoost,LOO,26.650601795590504,-6.650601795590504,6.650601795590504
T20G-2.jpg,20.0,2,CatBoost,LOO,32.785106453303335,-12.785106453303335,12.785106453303335
T20G-3.jpg,20.0,3,CatBoost,LOO,33.21519977371428,-13.215199773714282,13.215199773714282
T20G-4.jpg,20.0,4,CatBoost,LOO,25.56118013286882,-5.56118013286882,5.56118013286882
T20G-5.jpg,20.0,5,CatBoost,LOO,26.47967434906689,-6.47967434906689,6.47967434906689
