feature,importance_mean,importance_std
img_lbp_20,-0.0014615384615385362,0.0013666931252549997
cold_lbp_30_3,-0.0015384615384615033,0.002604805148553909
img_glcm_ASM_std,-0.001564102564102628,0.0021435958777975923
cold_std_30,-0.0016923076923075783,0.005049654820550196
cold_lbp_25_8,-0.001692307692307889,0.00301475660650241
img_lbp_22,-0.0017179487179486955,0.002813627960679563
img_pix_percentile_density_95,-0.00176923076923076,0.0020559242344001497
img_lbp_21,-0.0019743589743589957,0.0028066090873796142
img_lbp_25,-0.0023076923076921366,0.0041756313817071285
cold_lbp_35_16,-0.0024615384615384113,0.004663848120376722
cold_lbp_40_22,-0.002743589743589577,0.00614641645513659
img_lbp_11,-0.0028974358974360294,0.0025642307660258285
acel_x_g,-0.002923076923076784,0.003843075691322064
img_gray_p75,-0.003128205128205308,0.0013164612977429105
cold_lbp_40_20,-0.0032820512820511756,0.006646715709077031
img_lbp_23,-0.003923076923076844,0.0034649555783247054
img_glcm_energy_mean,-0.003999999999999819,0.005154037501231693
img_lbp_24,-0.004871794871794514,0.005629358564128244
cold_lbp_40_7,-0.005589743589743638,0.00265678643015147
cold_std_35,-0.00899999999999992,0.007890148152590168
cold_lbp_30_8,-0.015871794871794753,0.006266542866711175
