feature,rf_importance,mutual_information,permutation_importance,rank_rf,rank_mi,rank_perm,rank_promedio
img_pix_density_100,7.2003449856721e-05,0.0,0.0022051282051282445,192.0,175.0,103.0,156.66666666666666
img_glcm_contrast_std,0.00015981185775603207,0.0,0.00038461538461533886,166.0,175.0,137.0,159.33333333333334
cold_std_40,0.00020615222497791214,0.0,-8.141635513917814e-17,151.0,175.0,157.0,161.0
cold_lbp_30_18,0.00014902791045932198,0.004263256681353189,-0.001051282051282154,169.0,130.0,186.0,161.66666666666666
img_lbp_9,0.00010335917312661469,0.0,0.000512820512820363,180.0,175.0,132.0,162.33333333333334
cold_lbp_30_20,0.00024717238296009537,0.0,-0.0005384615384615395,139.0,175.0,174.0,162.66666666666666
img_gray_p25,7.982456140350876e-05,0.0,0.0006410256410253649,186.0,175.0,130.0,163.66666666666666
img_lbp_0,4.186364154718585e-05,0.05501307478947082,-0.0013589743589743112,199.0,104.0,189.0,164.0
img_glcm_energy_std,5.851901868107045e-05,0.008954924596407787,-0.0004615384615384984,194.0,127.0,171.0,164.0
acel_x_g,0.0003277862653271457,0.0,-0.002923076923076784,119.0,175.0,203.0,165.66666666666666
img_pix_percentile_density_95,0.000299288062505337,0.0,-0.00176923076923076,126.0,175.0,197.0,166.0
img_lbp_20,0.000269706699812477,0.0,-0.0014615384615385362,133.0,175.0,191.0,166.33333333333334
img_lbp_11,0.00018062685593908583,0.0016614207873644204,-0.0028974358974360294,162.0,136.0,202.0,166.66666666666666
cold_lbp_30_22,1.8318459370596524e-05,0.03328823414494697,-0.0010000000000001193,203.0,113.0,185.0,167.0
cold_std_25,0.00020524469688530471,0.0,-0.0008461538461536522,153.0,175.0,183.0,170.33333333333334
cold_lbp_35_20,0.00015958520916648202,0.0,-0.0006666666666668745,167.0,175.0,179.0,173.66666666666666
img_pix_percentile_density_85,5.8263305322128855e-05,0.0,-7.692307692307073e-05,195.0,175.0,160.0,176.66666666666666
cold_lbp_30_10,8.899023934438165e-05,0.0,-0.0005128205128206812,184.0,175.0,173.0,177.33333333333334
cold_lbp_30_19,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_density_50,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_count_50,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_density_80,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_density_150,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_pix_count_150,0.0,0.0,0.0,207.5,175.0,151.5,178.0
img_gray_p90,8.84783665532319e-05,0.0,-0.0005897435897438259,185.0,175.0,177.0,179.0
cold_lbp_25_21,5.4257095158597655e-05,0.0,-0.0005641025641025014,196.0,175.0,175.0,182.0
img_glcm_ASM_std,7.971909312050455e-05,0.0,-0.001564102564102628,187.0,175.0,193.0,185.0
img_gray_p75,9.645538866029241e-05,0.0,-0.003128205128205308,183.0,175.0,204.0,187.33333333333334
